1 4	1 Abortus
1355 1	1426 "Abscessus perirectalis (Abscessus periproctalis) "
1356 2	1427 "Actinomycosis columnae"
1357 11	1428 "Acut Brystkatarrh"
1358 10	1429 "Acut Gulsot"
1359 1	1430 Adipositas
1360 1	1431 "Adynamia cordis"
1361 1	1432 "Akut Hjertesygdom"
1362 2	1433 "Anaemia post metrorrhagiam"
1363 1	1434 "Antagelig Kulde og Svaghed"
1364 2	1435 "Antagelig Paralysis cordis"
1365 6	1436 "Anus præternaturalis"
1366 14	1437 "Arbejdsløshed og Alkoholisme"
1367 1	1438 "Arteriosclerosis et Nephritis"
1368 12	1439 "Barnefødsel i dølgsmål"
1369 8	1440 "Betændelse i højre Skinneben"
1370 16	1441 Blindtarmsbetændelse
1371 44	1442 Blærecatarrh
1372 4	1443 "Bristet Blodaaresvulst"
1373 7	1444 "Bronchitis capillaris acuta"
1374 0	1445 "Bronchitis pulmonum"
1375 10	1446 "Bronchopneumonia in rachitide"
1376 4	1447 "Brud af flere Legemsdele"
1377 3	1448 "Calculi vesicae felleae (Calculus vesicae felleae)"
1378 1	1449 "Cancer genitalium ext. et vesicae urinariae"
1379 30	1450 "Cancer hepatis et pulmonum"
1380 11	1451 "Cancer mammae et thoracis"
1381 4	1452 "Cancer maxillae sup."
1382 21	1453 "Cancer mediastini"
1383 1	1454 "Cancer renis et columnae"
1384 0	1455 "Cancer uteri et vesicae"
1385 2	1456 "Cancer uteri, vesicae et vaginae"
1386 27	1457 "Cancer ventriculi cum perforatione"
1387 3	1458 "Cancer ventriculi et intestin."
1388 0	1459 "Carcinoma faucium"
1389 3	1460 "Carcinoma oesophagi"
1390 13	1461 "Carcinomatosis universalis"
1391 8	1462 "Cholerine sequelae (Cholerine seqv.)"
1392 9	1463 "Chronisk Endocarditis"
1393 2	1464 "Kronisk mave-tarmkatar"
1394 1	1465 "Kronisk rygmarvssygdom"
1395 1	1466 "Chronisk Øreflod"
1396 5	1467 "Commotio cerebri"
1397 1	1468 Congelatio
1398 4	1469 "Congestionsabscesser (Kongestionsabacesser)"
1399 5	1470 "Cystitis calculosa"
1400 5	1471 "Cystopyelitis suppurativa"
1401 4	1472 "Cystopyelonephritis duplex"
1402 10	1473 "Debilitas post partum"
1403 3	1474 "Degeneratio adiposa cordis (Degen. adip. cordis)"
1404 28	1475 "Degeneratio amyolides (Amyloid degeneration)"
1405 7	1476 "Dyspnoea (Dyspnø)"
1406 25	1477 "Død i beruset Tilstand, sandsynligvis kvalt i en Opkastning"
1407 1	1478 "Død ved Lægens Ankomst"
1408 3	1479 "Eclampsia alcoholica"
1409 5	1480 "Eclampsia gravidarum"
1410 29	1481 "Eclampsia in Cholerine"
1411 31	1482 Eczema
1412 2	1484 "Embolia art. pulm. in puerperio"
1413 10	1485 "Embolia cordis"
1414 8	1486 "Embolia (x) dage post operationem"
1415 3	1487 "Emollitio  (Emollition)"
1416 2	1488 "Empyema pleurae dupl."
1417 1	1489 "Empyema sin."
1418 1	1490 "Empyema vesicae fellae"
1419 5	1491 "Encephalopathia syphilitica (Encephalopathia luetica)"
1420 4	1492 "Endocarditis infectiosa ulcerosa"
1421 19	1493 Endotheliomata
1422 1	1494 "Erysipelas migrans"
1423 2	1495 "Erythema (Erytem)"
1424 5	1496 Feber
1425 12	1497 "Febris rheumatica cerebralis"
1426 6	1498 "Fibroma uteri oper. seq."
1427 1	1499 "Forgiftning med morfin"
1428 2	1500 "Formentlig Selvmord"
1429 1	1501 "Formodentlig apoplexia cerebri"
1430 7	1502 "Forulykket ved Indebrænding"
1431 2	1503 "Fractura columnae"
1432 3	1504 "Fundet død i vugge/seng/barnevogn"
1433 1	1505 "Følger af Diphteritis i Svælget"
1434 1	1506 "Gangraena recti"
1435 1	1507 "Hepatitis acuta in chr."
1436 1	1508 "Hernia parietalis incarcerata"
1437 5	1509 "Hernia umbilicalis incarcerata"
1438 3	1510 Hjertelamhed
1439 3	1511 "Hjertelammelse efter Operation"
1440 1	1512 Hjertetilfælde
1441 5	1513 "Hygroma colli congenita"
1442 9	1514 "Hypertrophia prostatae cum cystitide"
1443 1	1515 "Hæmoptysis in tubercul. pulm."
1444 4	1516 "Hængning, ukendt motiv"
1445 23	1517 "Icterus gravis"
1446 17	1518 "Invaginatio (Invagination)"
1447 1	1519 "Klemt mellem 2 jernbanevogne"
1448 6	1520 "Kræft i Munden"
1449 1	1521 "Kunstig Ernæring"
1450 1	1522 "Kunstig Forløsning"
1451 1	1523 "Laryngostenosis (Laryngostenose)"
1452 6	1524 "Formentlig hjertefejl"
1453 5	1525 Liggesår
1454 1	1526 "Lungebetændelse under Kighoste"
1455 3	1527 Lungeblødning
1456 1	1528 Lungebrand
1457 3	1529 Lupusnæse
1458 2	1530 "Læsion af Hjernen"
1459 2	1531 "Marasmus alcoholicus"
1460 3	1532 "Meningitis ex otitide"
1461 3	1533 "Miseries et anaemia"
1462 1	1534 "Moribund (Moribundus, moribunda)"
1463 1	1535 "Myocarditis in Influenza"
1464 5	1536 "Fald (styrt) fra vogn i fart"
1465 8	1538 "Nephritis in phthisis pulm. chron."
1466 1	1539 "Nephritis suppurativa"
1467 16	1540 Neuritis
1468 5	1541 "Osteitis cranii (Ostitis cranii)"
1469 3	1542 "Osteosarcoma maxillae inf."
1470 4	1543 "Otitis interna"
1471 2	1544 "Otitis media suppurativa (Otitis media supp., Otitis med. c. supp.)"
1472 2	1545 "Otitis media purulenta sin."
1473 1	1546 "Overkørt af jernbanetog"
1474 24	1547 "Paralysis cordis post pneumonia croup."
1475 16	1548 "Paresis generalis"
1476 3	1549 "Pectoralia acuta in emphysema pulm."
1477 0	1550 "Pekuniære Sorger"
1478 2	1551 "Peritonitis appendicularis"
1479 19	1552 "Peritonitis e perforatione"
1480 2	1553 "Peritonitis e perforatione appendicis"
1481 2	1554 "Phlebitis extremitatis"
1482 8	1555 "Phlebitis venar. cerebri "
1483 0	1556 "Phlegmone extremitatis sup."
1484 5	1557 "Phthisis cavernosa pulm. duplex"
1485 25	1558 "Phthisis pulmonalis"
1486 2	1559 "Pleuropneumonia chron."
1487 31	1560 "Pleuropneumonia puerperalis"
1488 1	1561 "Pludselig død, formentlig sygdom"
1489 5	1562 "Pludselig død uden iagttaget Sygdom"
1490 1	1563 "Pneumonia catarrhalis dext."
1491 5	1564 "Pneumonia catarrhalis in bronchitide chronica"
1492 2	1565 "Pneumonia crouposa lobaris inferior dext. (Pneumonia croup. lob. Inf. dext.)"
1493 1	1566 "Pneumonia in Influenza"
1494 2	1567 "Pneumonia incipiens (Pneumonia incip.)"
1495 3	1568 "Pneumonia post operationem cholelithiasis"
1496 8	1569 "Pneumonia purulenta"
1497 5	1570 "Pneumonia tuberculosa (Tuberkuløs Pneumoni)"
1498 1	1571 "Polypi recti"
1499 8	1572 "Pyaemia in otit. media"
1500 14	1573 "Pyelitis chronica"
1501 3	1574 "Pyophlebitis pelvica"
1502 5	1575 "Recidiv efter Operation"
1503 5	1576 "Retentio urinae prostatica"
1504 12	1577 "Formentlig kvalt ved opkastning"
1505 1	1578 "Krampe under badning"
1506 1	1579 "Sarcoma maxillae sup. et faciei"
1507 1	1580 "Sarcoma prostatae"
1508 2	1581 "Selvmord ved skudsår"
1509 5	1582 "Septicopyæmia post stomatitis"
1510 4	1583 "Sequelae diphteriae (Diphteritis seqv.)"
1511 1	1584 "Sequelae haemorrhagiae cerebri"
1512 4	1585 "Skam og sorg over tilbøjelighed til nydelse af alkohol"
1513 1	1586 "Spondylitis suppurativa"
1514 8	1587 "Stenosis oesophagi"
1515 12	1588 "Stærk udbredt Forbrænding af Huden"
1516 3	1589 "Stærkt temperaturfald uden påviselig årsag"
1517 11	1590 "Tabes mesaraica"
1518 7	1591 "Tetanus traumatica"
1519 2	1592 "Tuberculosis cerebri"
1520 4	1593 "Tuberculosis miliaris acuta"
1521 1	1594 "Tuberculosis pulmonum acuta"
1522 2	1595 "Tuberculosis pulm. et universalis"
1523 13	1596 "Tuberculosis pulmonum incipiens"
1524 3	1597 "Tuberculosis renis"
1525 2	1598 "Tuberculosis vetus"
1526 5	1599 "Tumor albus genus et humeri"
1527 15	1600 "Tumor vesicae"
1528 1	1601 Tungsind
1529 1	1602 "Ulcus cardiae"
1530 6	1603 Urinblærebetændelse
1531 1	1604 "Vanskelig Fødsel"
1532 10	1605 "Vulnus sclopetarium"
1533 0	1606 "Absces på halsen"
1534 7	1607 "Abscessus peritonei"
1535 1	1608 "Acut Diarrhoe (Akut diarré)"
1536 1	1609 "Alcoholismus acutus"
1537 0	1610 "Alcoholismus acutus in alcoholismo chr. (A. acut. in a. chr.)"
1538 1	1611 "Anæmi som Følge af kompliceret Benbrud"
1539 3	1612 "Asphyxia in partu"
1540 1	1613 "Atrophia universalis"
1541 1	1614 "Bevæggrund ukendt"
1542 1	1615 "Bristning af en Tarm fremkaldt ved Kontusion af Underlivet"
1543 4	1616 "Bronchitis senilis"
1544 7	1617 "Bronchopneumonia, recidiv"
1545 1	1618 Brysthindebetændelse
1546 6	1619 "Cancer labii majoris"
1547 2	1620 "Cancer mammae, recidiv"
1548 3	1621 "Cancerosis universalis"
1549 1	1622 Cholangitis
1550 1	1623 "Chronisk Lungebetændelse"
1551 9	1624 "Chronisk Mellemøresuppuration"
1552 22	1625 "Enteritis acuta in chr."
1553 3	1626 Febrilia
1554 4	1627 "Forgiftning med Stryknin"
1555 1	1628 Forkalkning
1556 1	1629 "Forkalkning i Aorta og Hjernearterierne"
1557 2	1630 "Formentlig kvælning"
1558 81	1631 "Gangraena diabetica cruris sin."
1559 6	1632 "Haemorrhagia interna (Hæmorrhagia interna)"
1560 1	1633 "Haemorrhagia intestin. (Hæmorrhagia intestin.)"
1561 13	1634 Hjerneabsces
1562 1	1635 Hjernehindebetændelse
1563 2	1636 Hjerteslag
1564 1	1637 "Incarceratio interna"
1565 6	1638 "Infarctus pulmonis dextr."
1566 8	1639 Intussusceptio
1567 1	1640 "Kloroformforgiftning (Forgiftning med chloroform)"
1568 1	1641 "Knusning ved Overkørsel af Jernbanen"
1569 1	1642 "Kræft i Blæren"
1570 10	1643 "Metastaser i Lever og Lunger"
1571 1	1644 "Myocarditis chron."
1572 1	1645 "Nedbrudt Helbred"
1573 4	1646 "Omslynget Navlesnor"
1574 1	1647 "Pludselig død uden Lægebehandling"
1575 3	1648 "Pneumonia crouposa sin. et dext."
1576 2	1649 "Pneumonia lobularis dext."
1577 3	1650 "Pneumonia lobularis in Influenza"
1578 1	1651 "Pneumonia lobularis pulm."
1579 1	1652 Sinustrombose
1580 1	1653 "Tuberculosis pedis"
1581 7	1654 "Tuberculosis pulm. et abdominis"
1582 1	1655 "Tuberculosis retroperitonealis"
1583 5	1656 "Tumor hypophysis"
1584 6	1657 "Åbent lårbensbrud"
1585 1	1658 "Abscessus pulm."
1586 1	1659 "Actinomycosis (Aktinomykose)"
1587 5	1660 "Acut cerebralia in chr."
1588 1	1661 "Bronchopneumonia post operationem"
1589 1	1662 "Brud paa Hjernekassen ved Nedstyrtning"
1590 16	1663 "Cancer flexurae coli"
1591 5	1664 "Cancer mediastini anterior"
1592 9	1665 "Cancer oesophagi, ventriculi et abdominis"
1593 25	1666 "Cancer renis dext."
1594 13	1667 "Cancer sigmoidei romani  (Cancer S. romani)"
1595 7	1668 "Carcinoma columnae"
1596 1	1669 "Carcinoma recti"
1597 2	1670 "Catarrhus gastrointestinalis acutus in chron. (Cath. gastr. int. acut. in chron.)"
1598 2	1671 "Cholecystitis suppurativa"
1599 2	1672 "Chronisk Brysttilfælde"
1600 13	1673 "Kronisk leddebetændelse"
1601 13	1674 "Congenit Hjertefejl"
1602 1	1675 "Contusio pelvis"
1603 2	1676 "Convulsioner under Tandbrud"
1604 3	1677 "Convulsiones in rachitide"
1605 6	1678 "Diphteria faucium et nasi (Diphteritis fauc. et nasi)"
1606 2	1679 "Dyspepsia chron."
1607 9	1680 "Død under fødslen (barn)"
1608 52	1681 "Eclampsia in rachitide"
1609 11	1683 "Febris catarrhalis (Febr. cat., Fb. cat.)"
1610 2	1684 "Fibromata uteri"
1611 1	1685 Fistulae
1612 2	1686 "Formentlig økonomisk Vanskelighed"
1613 1	1687 Hjernesvulst
1614 6	1688 "Hysterektomia vaginalis"
1615 1	1689 "Invaginatio intestin. chr."
1616 22	1691 "Lues vetus"
1617 1	1692 "Lunge- og strubesvindsot"
1618 4	1693 "Mania acuta"
1619 1	1694 "Meningitis acuta"
1620 7	1695 "Meningitis cerebralis (tuberc.)"
1621 1	1696 "Naevus pigmentosus cancerosus"
1622 6	1697 Osteoarthritis
1623 24	1698 Osteosarcoma
1624 1	1699 "Osteosarcoma femoris seq."
1625 1	1700 "Pectoralia chron."
1626 14	1701 "Phlegmone i Larynx"
1627 1	1702 "Pneumonia croup. sinistra post Influenza"
1628 1	1703 "Pneumonia in Enteritis"
1629 5	1704 "Pneumonia pulm. sin."
1630 11	1705 "Ruptura hepatis"
1631 1	1706 "S romanum tortum"
1632 8	1707 "Sarcoma pleurae"
1633 8	1708 "Sarcoma testiculi, columnae et hepatis"
1634 4	1709 "Scarlatina? in puerperio"
1635 13	1710 "Sclerosis arteriae et aortae"
1636 30	1711 "Selvmord ved hængning i anfald af sindssyge"
1637 11	1712 "Sequelae coxitis (Seq. coxitis)"
1638 4	1713 "Sequelae haematemesis (Hæmatemesis seq.)"
1639 10	1714 "Sequelae laparotomiae"
1640 4	1715 "Sequelae nephritis"
1641 2	1717 "Fald (nedstyrtning) fra vindue"
1642 2	1718 "Sår på tarmene"
1643 1	1719 "Tetanus rheumaticus"
1644 18	1720 "Thrombosis (Trombosis)"
1645 1	1721 "Total Lungeatelectase"
1646 1	1722 "Tuberculosis pedis et pulmonum"
1647 7	1723 "Udbredt Knusning af Hovedet"
1648 1	1724 "Angina phlegmonosa"
1649 3	1725 "Apoplexia vetus"
1650 1	1726 "Cancer intestini et hepatis"
1651 3	1727 "Embolia cerebri et pulmonum"
1652 1	1728 "Fractura ossi cranii"
1653 1	1729 "Pyelonephritis calculosa"
1654 3	1730 "Sarcoma pulmon."
1655 1	1731 "Selvmord ved overskæring af halsen"
1656 2	1732 "Degeneratio chron. myocardii "
1657 1	1733 "Granularatrofi af nyrerne (Granulær nyreatrofi)"
1658 13	1734 "Pachymeningitis chr. "
1659 1	1735 "Akut febril sygdom"
1660 2	1736 "Atrophia musculorum progressiva"
1661 1	1737 Blæresygdom
1662 5	1738 "Bronchitis universalis "
1663 2	1739 "Cachexia post epitheliomata universalis"
1664 1	1740 "Cancer hepatis et renum"
1665 1	1741 "Cancer metastaticus columnae"
1666 1	1742 "Cancer oris"
1667 15	1743 "Cancer ventriculi et pancreatis"
1668 1	1744 "Delirium alcoholicum"
1669 2	1745 "Dementia paretica"
1670 15	1746 "Diphteritis i Svælget"
1671 0	1747 Ebrietas
1672 28	1748 "Eclampsia ante partum"
1673 2	1749 "Fistula ad anum (Fistula ani)"
1674 3	1750 "Fistula reg. sternalis congenita"
1675 1	1751 "Gangraena coli"
1676 1	1752 "Icterus chron."
1677 9	1753 "Icterus infectiosus"
1678 3	1754 "Ihjelkørsel af Sporvogn"
1679 6	1755 "Invaginatio iliaca"
1680 23	1756 "Morbus cordis post febr. rheum."
1681 5	1757 "Mæslinger efter Kighoste"
1682 0	1758 Opiumsforgiftning
1683 8	1759 "Osteomyelitis infectiosa acuta"
1684 5	1760 "Phlegmone manus"
1685 1	1761 "Polyarthritis purulenta"
1686 2	1762 "Sepsis intestinalis"
1687 3	1763 "Spondylitis cerebralis"
1688 4	1764 Stomatitis
1689 1	1765 "Strictura intestini"
1690 0	1766 "Strictura oesophagi (Strictura øsophagi)"
1691 3	1767 "Suicidium per vulnus"
1692 1	1768 Tangforløsning
1693 2	1769 Tarmforsnævring
1694 11	1770 Tarmtuberkulose
1695 7	1771 "Tuberculosis cavernosa pulm."
1696 1	1772 "Tumor pelvis et intestini crassi"
1697 1	1773 "Ulcus chronicus ventriculi (Ulcus chron. Ventriculi)"
1698 8	1774 "Ulcus gangraenosum pharyngis et laryngis"
1699 6	1775 "Ulcus laryngis"
1700 10	1776 "Cancer thoracis"
1701 1	1777 "Forskellige Misdannelser"
1702 4	1778 Galdegangskræft
1703 0	1779 "Intoxicatio intestinalis"
1704 2	1780 Maceration
1705 1	1781 "Maleformatio congenita"
1706 1	1782 "Mors sine causa  nota"
1707 2	1783 "Abdominalia subacuta"
1708 1	1784 "Abscessus e appendicitide"
1709 1	1785 "Akut gastrointestinal Tilfælde"
1710 1	1786 "Ambustio extremitatis sup. dext. et inf. dext."
1711 3	1787 "Anaemia progressiva (Anæmia progressiva)"
1712 1	1788 "Bekymring over ægtefællens død"
1713 2	1789 "Brud af Hjerneskallen"
1714 6	1790 Brystlidelse
1715 2	1791 "Cancer faucium et oesophagi"
1716 0	1792 "Cancer parotidis dext."
1717 10	1793 "Carbunculus nuchae"
1718 3	1794 "Formentlig Hjerneapoplexi"
1719 1	1795 "Formentlig ihjelligning"
1720 18	1796 "Fremadskridende paralyse"
1721 1	1797 "Fundet døende"
1722 3	1798 "Hjertelamhed efter Diarrhoe"
1723 1	1799 "Hydropericardium (Hydroper.)"
1724 4	1800 "Ischias (Iskias)"
1725 2	1801 "Kræft i Luftrøret"
1726 1	1802 "Lues tertiaria cerebri"
1727 1	1803 "Lumbago rheumatica (Lumbago rheum.)"
1728 1	1804 "Meningitis cerebrospinalis purulenta"
1729 6	1805 "Morbus chr. cordis congenitus"
1730 8	1806 Morphinismus
1731 3	1807 "Mors instantanea in a. c."
1732 1	1808 "Myocarditis senilis"
1733 5	1809 "Necrosis tibiae"
1734 1	1810 Nephropyelitis
1735 1	1811 Nervøsitet
1736 5	1812 Næringssorg
1737 10	1813 "Otitis duplex"
1738 5	1814 "Paralysis infantilis cerebralis"
1739 1	1815 "Paratyfus (Paratyphus)"
1740 2	1816 "Paresis (Parese)"
1741 1	1817 "Peritonitis diffusa e contusione abdominis"
1742 3	1818 "Peritonitis localis"
1743 2	1819 "Phlegmone diffusa"
1744 4	1820 "Pyelonephritis chron."
1745 6	1821 "Sarcoma mediastini"
1746 1	1822 "Sarcomatosis post sarcoma femoris"
1747 2	1823 "Sequelae icteri (Icterus seq.)"
1748 1	1824 "Skudsår i tindingen"
1749 2	1825 "Sorg over ægtefællens død"
1750 1	1826 "Struma pylori"
1751 1	1827 Sukkersot
1752 3	1828 "Tuberculosis cordis"
1753 3	1829 "Tuberculosis pulmonum duplex (Tuberculosis pulm.  dupl.)"
1754 2	1830 "Tuberculosis pulmonum et cerebri (Tub. pulm. et cerebri)"
1755 1	1831 "Tumor durae matris"
1756 2	1832 "Økonomiske sorger"
1757 3	1833 "Abscessus retropharyngialis"
1758 6	1834 "Akut lungebetændelse"
1759 2	1835 "Apoplexia pulmonum"
1760 3	1836 "Appendicitis acuta"
1761 1	1837 "Arthritis pedis tuberculosa"
1762 6	1838 "Atrophia glandulae thyroideae"
1763 1	1839 Benbetændelse
1764 5	1840 "Bronchopneumonia sup. sin."
1765 2	1841 "Cancer flexurae"
1766 25	1842 "Cancer mammae antea"
1767 1	1843 "Cancer pleurae sin."
1768 7	1844 "Catarrhus infantum (Catarrh. infant.)"
1769 3	1845 "Catarrhus infantum acut."
1770 6	1846 "Kronisk hjertefejl"
1771 9	1847 "Chronisk Rygmarvslidelse"
1772 1	1848 "Contusio abdominis"
1773 5	1849 "Cystitis purulenta"
1774 1	1850 "Debilitas cerebri"
1775 1	1851 "Degeneratio cerebri"
1776 14	1852 "Dyspepsia infantum"
1777 1	1853 "Ectopia vesicae (Ektopia vesicae)"
1778 3	1854 "Emaciatio extrema"
1779 5	1855 "Embolia extremitatis inf. sin."
1780 2	1856 "Epithelioma labii inferioris"
1781 1	1857 "Formentlig Hjerneblødning efter et Fald"
1782 3	1858 "Fractura claviculae"
1783 1	1859 "Gangraena cruris et pedis"
1784 1	1860 "Gangraena pulmonum sin."
1785 6	1861 "Haemorrhagia e placenta praevia"
1786 1	1862 Hepatitis
1787 4	1863 "Icterus congenitus"
1788 1	1864 "Ileus chr. post operationem"
1789 37	1865 "Indvendig Beskadigelse"
1790 6	1866 "Knusning af Brystkassen og Hjerneskallen"
1791 2	1867 "Kyphosis (Kyfose)"
1792 1	1868 "Lues antea"
1793 3	1869 Lupus
1794 3	1870 "Melaena neonatorum (Melæna neonat.)"
1795 8	1871 "Meningitis purulenta chron."
1796 1	1872 "Miliær tuberkulose. Tarm og peritoneum."
1797 4	1873 "Morbus cordis aortae"
1798 1	1874 "Mors medico non vocato obveniens (død uden lægetilsyn)"
1799 8	1875 Nephrotomia
1800 3	1876 "Operatio  (Operation)"
1801 1	1877 Operationschok
1802 1	1878 "Pancreatitis haemorrhagica acuta"
1803 1	1879 Perinephritis
1804 1	1880 Periodedranker
1805 7	1881 "Phlegmone diffusa profunda pelvis"
1806 3	1882 "Pneumokok peritonitis"
1807 2	1883 "Pneumonia crouposa post erysip."
1808 1	1884 "Pneumonia dupl. tuberculosa"
1809 1	1885 Pneumothorax
1810 1	1886 "Pulmonia crouposa (Pulmon. crouposa)"
1811 1	1887 "Purulent Infection"
1812 28	1888 Pyelocystitis
1813 1	1889 "Pyosalpinx "
1814 1	1890 "Pyosalpinx duplex"
1815 1	1891 "Påkørt af toget"
1816 5	1892 "Resectio ventriculi"
1817 1	1893 "Ruptura uteri"
1818 6	1894 "Sarcoma ovarii"
1819 21	1895 "Scirrhus uteri"
1820 6	1896 "Scrofulosis universalis"
1821 1	1897 "Sepsis osteomyelitis calcanei"
1822 1	1898 "Sequelae fracturae complic. et contusionis et dilacerationis "
1823 1	1899 "Sequelae malariae (Malaria sequelae)"
1824 20	1900 "Skudsår gennem munden og kraniet"
1825 3	1901 Stenocardia
1826 1	1902 Strubetuberkulose
1827 2	1903 Sygelighed
1828 3	1904 Tarmsprængning
1829 15	1905 "Thrombosis art. pulm."
1830 4	1906 Trøske
1831 4	1907 "Tuberculosis abdominalis chron."
1832 12	1908 "Tuberculosis faucium"
1833 3	1909 "Tuberculosis organorum omnium "
1834 4	1910 "Tuberculosis pulmonum et peritonei (Tub. pulm. et periton.)"
1835 7	1911 "Tuberculosis pulmonum et renum et vesicae"
1836 7	1912 "Tuberculosis renis sin."
1837 1	1913 "Tumor cancrosus abdominis"
1838 1	1914 "Tumor cancrosus ovarii"
1839 3	1915 "Cholaemia (Cholæmia)"
1840 1	1916 "Malaria seq."
1841 2	1917 "Abscessus fossae Douglasii e salpingitide rupta"
1842 1	1918 "Abscessus pulmonum dext."
1843 2	1919 "Abscessus subphrenicus cum uraemia"
1844 3	1920 "Akut infektionssygdom"
1845 11	1921 "Appendicitis perforativa"
1846 3	1922 "Atelektase i lungerne (Lungeatelektase)"
1847 6	1923 "Cancer oesophagi et cardiae"
1848 5	1924 "Cancer pylori et ventriculi"
1849 4	1925 "Catarrhus chronicus (Catarrh. chr.)"
1850 3	1926 "Catarrhus ventriculi acutus (Catarrh. ventr. acut.)"
1851 5	1927 "Cerebral affektion"
1852 3	1929 "Deliria alcohol. et senil."
1853 2	1930 "Død under æternarkose"
1854 1	1931 "Eclampsia puerperalis"
1855 1	1932 "Embolia art. coronariae cordis"
1856 1	1933 "Fistula vesicae"
1857 1	1934 "Formentlig sindssyge"
1858 2	1935 "Formentlig ulykkeligt ægteskab"
1859 1	1936 "Fractura complicata cruris"
1860 2	1937 "Fractura costae"
1861 1	1938 Galdestenskolik
1862 35	1939 "Haemorrhagia umbilicalis"
1863 1	1940 "Hepatitis chron."
1864 1	1941 "Kontusion af hovedet  (Knusning af hovedet)"
1865 1	1942 "Kronisk lungesvindsot"
1866 1	1943 Lungegangræn
1867 6	1944 "Morbus spinalis"
1868 6	1945 "Nedstyrtning i drukkenskab"
1869 7	1946 "Obstipatio gravis"
1870 1	1947 "Organisk hjertefejl"
1871 1	1948 Paranoia
1872 1	1949 "Phthisis duplex cavernosa totalis sin."
1873 12	1950 "Pleuritis tuberculosa"
1874 10	1951 Polyneuritis
1875 3	1952 "Pulmonia catarrhalis (Pulmonia catarrh.)"
1876 4	1953 Pyocardium
1877 1	1954 "Retentio urinae"
1878 3	1955 "Ruptura intestin. jejuni duplex"
1879 6	1956 "Salpingitis purulenta"
1880 1	1957 "Sankt Vejtsdans"
1881 1	1958 "Sarcoma orbitalis"
1882 1	1959 "Sarcoma renis"
1883 1	1960 Snigfeber
1884 1	1961 Sten
1885 23	1962 "Sår i baghovedet"
1886 11	1963 "Tuberculosis pulmonum et intestini et urogenitalis et cubiti"
1887 1	1964 "Tumor recti"
1888 12	1965 Adenitis
1889 0	1966 "Appendicitis acuta perforata gangraenosa"
1890 3	1967 "Cancer prostatae et columnae"
1891 3	1968 Humørsyge
1892 2	1969 "Hydrocephalus int."
1893 7	1970 "Kræft i maven og bughinden"
1894 6	1971 "Pachymeningitis haemorrhagica int."
1895 8	1972 "Pleuropneumonia sinistra (Pleuropneumonia sin.)"
1896 1	1973 "Pludselig død efter badning"
1897 1	1974 "Proctitis et periproctitis tuberculosa"
1898 1	1975 "Sequelae cancri mammae (Seq. cancer mammae)"
1899 1	1976 "Vitium congenitum (Vitium congenit.)"
1900 1	1977 "Abscessus femoris"
1901 7	1978 "Amaurosis (Amaurose)"
1902 3	1979 "Anthrax nuchae"
1903 10	1980 "Arthritis nodosa"
1904 1	1981 "Betændelse ved endetamen"
1905 6	1982 "Bronchopneumonia post influenza"
1906 10	1983 "Cancer mammae et intestin."
1907 2	1984 "Cancer ovarii dext."
1908 2	1985 "Cancer pharyngis et laryngis"
1909 1	1986 "Cancer (ventriculi) mediastini, recidiv"
1910 3	1987 "Chorea chronica"
1911 2	1988 "Deformatio canalis intestinalis congenita"
1912 1	1989 "Død på vejen til hospitalet"
1913 6	1990 "Død ved ankomst til hospitalet"
1914 1	1991 "Faldet i vandet"
1915 9	1992 "Formentlig kighoste"
1916 0	1993 "Fractura spontanea femoris"
1917 1	1994 "Gangraena cruris"
1918 1	1995 "Gangraena pedis et cruris"
1919 2	1996 "Haemorrhagia meningealis"
1920 2	1997 "Hypertrophia glandulae thym."
1921 11	1998 Insufficientia
1922 6	1999 "Invaginatio coli"
1923 1	2000 "Kronisk lever- og miltsygdom"
1924 2	2001 "Leukaemia myeloides  (Leuchaemia myeloid. )"
1925 5	2002 "Livslede eftes ægtefællens død"
1926 5	2003 "Muligvis en blodprop"
1927 3	2004 "Pemphigus neonatorum (Pemphigus neonat.)"
1928 0	2005 "Pericarditis fibrinosa et haemorrhagica"
1929 1	2006 "Pludselig død af drik"
1930 1	2007 "Postoperativ marasmus"
1931 3	2008 "Prostatectomia (Prostatektomi)"
1932 4	2009 "Rheumatismus pedis"
1933 1	2010 "Sandsynligvis alkoholisme"
1934 5	2011 "Sarcoma extremitatis inf. dext."
1935 1	2012 "Selvmord ved cyankalium"
1936 2	2013 "Sequelae contusionis coxae"
1937 3	2014 Skud
1938 2	2015 "Skudsår i hjertet"
1939 3	2016 "Stenosis pylori congenit. "
1940 8	2017 "Suppuration i næsens bihuler"
1941 7	2018 "Sygdom i centralnervesystemet"
1942 17	2019 "Tuberculosis pulmonum et intest. et genitalium"
1943 8	2020 "Typhus abdominalis"
1944 1	2021 "Ulcus ventriculi perfor."
1945 2	2022 Varices
1946 1	2023 "Varices oesophagi"
1947 12	2024 "Achylia gastrica"
1948 1	2025 "Actinomycosis abdominis"
1949 1	2026 "Akut intestinal katar"
1950 7	2027 "Atresia ani"
1951 6	2028 "Atrophia cerebri"
1952 5	2029 Benbrud
1953 1	2030 "Cancer coli ascendentis  (Cancer coli ascend. )"
1954 6	2031 "Cancer coli sigmoidei"
1955 1	2032 "Caries vertebrarum"
1956 3	2033 "Degeneratio myocardii adiposa"
1957 3	2034 "Degeneratio senilis cerebri"
